activation_types,bumps,c1_lb,c1_ub,c2,c3,crossover_freq,decay,distance_weight,edge_inheritance,edge_weights,extra_mutation_rate,fd_max,fd_mean,fd_median,fd_min,fd_sd,generations_per_epoch,gvector_absolute_fitness,gvector_fitness_delta,knob_constant,knob_type,mutation_type_ub,num_candidates,num_epochs,num_hill_climbers,num_organisms,ph_absolute_fitness,ph_fitness_delta,ridge_radius,sa_timesteps,seed,spreading_rate
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.659934,0.250339,0.257656,0.000000,0.233513,20,0.000000,0.000000,0.020000,0,16,7,30,30,50,0.000000,0.000000,0.100000,20,126386000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.901177,0.201096,0.000000,0.000000,0.307933,20,3.994507,0.564713,0.020000,0,16,7,30,30,50,0.000000,0.000000,0.100000,20,465983000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.785358,0.384773,0.446856,0.000000,0.298887,20,1.984284,0.287812,0.020000,0,16,7,30,30,50,0.000000,0.000000,0.100000,20,721403000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.853112,0.284704,0.284628,0.000000,0.270296,20,1.987139,0.679382,0.020000,0,16,7,30,30,50,0.000000,0.000000,0.100000,20,16746000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.901693,0.219174,0.000000,0.000000,0.302673,20,9.917377,0.000000,0.020000,0,16,7,30,30,50,0.000000,0.000000,0.100000,20,297985000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.757863,0.425420,0.430484,0.000000,0.281916,20,3.984330,0.732001,0.020000,0,16,7,30,30,50,0.000000,0.000000,0.100000,20,836791000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.882594,0.439117,0.490713,0.000000,0.266757,20,2.326806,0.388235,0.020000,0,16,7,30,30,50,0.000000,0.000000,0.100000,20,113302000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.792647,0.304410,0.256887,0.000000,0.259425,20,1.123918,0.550764,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,499602000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.831513,0.400646,0.502536,0.000000,0.301229,20,6.745169,0.000000,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,585550000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.837653,0.440204,0.496148,0.000000,0.267258,20,1.978859,1.011356,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,101952000,0.200000
