activation_types,bumps,c1_lb,c1_ub,c2,c3,crossover_freq,decay,distance_weight,edge_inheritance,edge_weights,extra_mutation_rate,fd_max,fd_mean,fd_median,fd_min,fd_sd,generations_per_epoch,gvector_absolute_fitness,gvector_fitness_delta,knob_constant,knob_type,mutation_type_ub,num_candidates,num_epochs,num_hill_climbers,num_organisms,ph_absolute_fitness,ph_fitness_delta,ridge_radius,sa_timesteps,seed,spreading_rate
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.896612,0.139030,0.000000,0.000000,0.257094,20,0.984630,0.464631,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,26950230,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,20,0.000000,0.000000,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,371282134,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,20,0.000000,0.000000,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,606732605,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.908749,0.162081,0.137355,0.000000,0.216387,20,1.992173,0.233792,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,939987909,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.772193,0.221553,0.095603,0.000000,0.268830,20,1.327551,0.128064,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,307619904,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.904862,0.178700,0.000000,0.000000,0.282850,20,1.650652,0.427386,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,698545301,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.593065,0.052736,0.000000,0.000000,0.163712,20,0.203474,0.000000,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,103673208,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.735133,0.101732,0.000000,0.000000,0.218562,20,9.917510,0.000000,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,513260770,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.900620,0.300979,0.315201,0.000000,0.266110,20,1.315872,0.472472,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,847397154,0.200000
ONLY_SUM_INCOMING,false,0.300000,0.700000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.908461,0.140421,0.000000,-0.000000,0.251823,20,1.321521,0.228873,0.020000,0,10,7,20,30,80,0.000000,0.000000,0.050000,20,258717046,0.200000
